cod;cod2;cod3;X;Y;Z;Cu;length_of_core
509;BHL79;5;660;320;102;0.94;5
510;BHL79;5;660;320;97;0.56;5
511;BHL79;5;660;320;92;1.01;5
512;BHL79;5;660;320;87;0.92;5
513;BHL79;5;660;320;82;0.99;5
514;BHL79;5;660;320;77;1.99;5
521;BHL80;5;320;270;122;1.7;5
522;BHL80;5;320;270;117;2.2;5
523;BHL80;5;320;270;112;1.88;5
524;BHL80;5;320;270;107;1.09;5
525;BHL80;5;320;270;102;1.86;5
526;BHL80;5;320;270;97;1.22;5
527;BHL80;5;320;270;92;0.72;5
528;BHL80;5;320;270;87;0.93;5
529;BHL80;5;320;270;82;1.07;5
530;BHL80;5;320;270;77;0.94;5
533;BHL82;5;415;270;122;1.73;5
534;BHL82;5;415;270;117;1.43;5
535;BHL82;5;415;270;112;0.86;5
536;BHL82;5;415;270;107;1.26;5
537;BHL82;5;415;270;102;0.9;5
538;BHL82;5;415;270;97;0.8;5
539;BHL82;5;415;270;92;0.58;5
540;BHL82;5;415;270;87;0.88;5
541;BHL82;5;415;270;82;1.01;5
542;BHL82;5;415;270;77;0.56;5
555;BHL84;5;515;270;122;0.75;5
556;BHL84;5;515;270;117;0.47;5
557;BHL84;5;515;270;112;0.81;5
558;BHL84;5;515;270;107;1.35;5
559;BHL84;5;515;270;102;0.75;5
560;BHL84;5;515;270;97;0.62;5
561;BHL84;5;515;270;92;0.6;5
562;BHL84;5;515;270;87;0.52;5
563;BHL84;5;515;270;82;0.79;5
564;BHL84;5;515;270;77;0.61;5
573;BHL86;5;610;270;122;1.33;5
574;BHL86;5;610;270;117;1.05;5
575;BHL86;5;610;270;112;0.95;5
576;BHL86;5;610;270;107;0.97;5
577;BHL86;5;610;270;102;0.94;5
578;BHL86;5;610;270;97;1.3;5
579;BHL86;5;610;270;92;0.62;5
580;BHL86;5;610;270;87;0.62;5
581;BHL86;5;610;270;82;0.68;5
582;BHL86;3;610;270;77;0.94;5
593;BHL87;5;665;265;122;1.33;5
594;BHL87;5;665;265;117;1.17;5
595;BHL87;5;665;265;112;1.14;5
596;BHL87;5;665;265;107;1.14;5
597;BHL87;5;665;265;102;1.12;5
598;BHL87;5;665;265;97;0.96;5
599;BHL87;5;665;265;92;0.94;5
600;BHL87;5;665;265;87;0.65;5
601;BHL87;5;665;265;82;0.58;5
602;BHL87;5;665;265;77;0.89;5
609;BHL88;5;370;220;122;1.97;5
