X;Y;Z;Au
402240.875;96185.969;999.5;0.66
402240.875;96185.969;998.75;1.08
402238.094;96168.148;998.5;1.1
402298.094;96366.609;999.5;0.54
402298.094;96366.609;998.5;1.44
402285.688;96371;999.5;0.58
402285.688;96371;998.4;0.7
402242.094;96401.758;999.45;0.28
402265.906;96545.172;999.5;0.29
402265.906;96545.172;998.5;0.14
402265.906;96545.172;997.5;0.38
402265.906;96545.172;996.5;0.72
402276.406;96546.078;999.5;0.32
402276.406;96546.078;998.5;0.16
402276.406;96546.078;997.5;0.55
402283;96549.773;998.5;0.13
402292;96548.727;998.3;0.14
402302.406;96546.133;998.5;0.27
402302.406;96546.133;997.5;3.39
402318;96547.469;999.5;0.37
402318;96547.469;998.5;0.47
402318;96547.469;997.5;0.77
402253.813;96764.211;998.7;0.15
402263.813;96765.492;999.5;0.33
402263.813;96765.492;998.5;0.5
402271.531;96767.258;999.5;0.29
402271.531;96767.258;998.5;0.42
402271.531;96767.258;997.75;0.29
402278.469;96770.758;998.5;0.8
402231.531;96879.688;997.7;1.91
402228;96886.609;998.55;3.41
402238.094;96980.242;999.5;0.5
402238.094;96980.242;998.5;0.38
402186.594;96995.352;999.5;0.45
402186.594;96995.352;998.5;0.5
402190.188;96986.047;999.5;0.24
402190.188;96986.047;998.5;1.2
402194.875;96975.789;999.5;0.69
402194.875;96975.789;998.5;0.2
402194.875;96975.789;997.5;0.18
402194.875;96975.789;996.5;0.12
402194.875;96975.789;995.5;0.07
402192.594;96965.25;999.5;0.25
402192.594;96965.25;998.5;0.78
402192.594;96965.25;997.5;0.51
402189;96961.453;998.05;1.45
402188.813;96888.563;997.5;0.17
402188.813;96888.563;996.5;0.12
402188.813;96888.563;995.5;0.06
402188.313;96875.773;999.5;0.39
402188.313;96875.773;998.5;0.5
402188.313;96875.773;997.5;0.17
402188.313;96875.773;996.5;0.06
402188.313;96875.773;995.5;0.1
402153.406;96975.008;998.5;0.56
402153.406;96975.008;997.5;0.76
402153.406;96975.008;996.5;0.54
402199.688;97155.352;998.5;0.77
402199.688;97155.352;997.65;1.18
402189;97154.289;998.3;0.94
402288.313;94639.117;997.3;0.44
402291;94633.133;998.5;0.25
402291;94633.133;997.5;0.39
402289.125;94623.438;998.3;0.24
402259.406;94740.102;999.5;0.14
402259.406;94740.102;998.5;0.67
402259.406;94740.102;997.5;0.6
402259.406;94740.102;996.5;0.64
402259.406;94740.102;995.5;0.57
402260.406;94747.859;999.5;0.15
402260.406;94747.859;998.5;0.3
402260.406;94747.859;997.5;0.62
402260.406;94747.859;996.5;0.59
402260.406;94747.859;995.5;1
402260.406;94747.859;994.5;0.77
402259;94754.219;999.5;0.14
402259;94754.219;998.5;0.41
402259;94754.219;997.5;0.73
402259;94754.219;996.5;1.05
402259;94754.219;995.5;0.42
402222.719;94736.063;999.5;0.26
402222.719;94736.063;998.5;0.39
402222.719;94736.063;997.5;0.56
402222.719;94736.063;996.5;0.51
402222.719;94736.063;995.5;0.36
402226.594;94742.531;999.5;0.18
402226.594;94742.531;998.5;0.36
402226.594;94742.531;997.5;0.62
402226.594;94742.531;996.5;0.46
402226.594;94742.531;995.5;0.27
402227;94751.039;998.5;0.32
402227;94751.039;997.5;0.29
402227;94751.039;996.5;0.65
402227;94751.039;995.5;0.64
402227;94751.039;994.5;0.35
402227;94751.039;993.5;0.33
402166.313;94399.203;999.5;0.41
402166.313;94399.203;998.35;1.62
402168;94410.18;999.5;0.22
402168;94410.18;998.5;0.62
402168;94410.18;997.5;0.4
402168;94410.18;996.5;0.23
402173.813;94423.602;999.5;0.27
402173.813;94423.602;998.5;0.31
402173.813;94423.602;997.5;0.71
402173.813;94423.602;996.5;1.22
402173.813;94423.602;995.5;0.54
402173.813;94423.602;994.5;0.43
402176.094;94432.031;999.5;0.3
402176.094;94432.031;998.5;0.47
402176.094;94432.031;997.5;1.62
402176.094;94432.031;996.5;2.43
402176.094;94432.031;995.35;2.25
402264;94414.648;999.5;0.68
402264;94414.648;998.5;1.02
402264;94414.648;997.5;0.67
402259.813;94403.273;999.5;0.24
402259.813;94403.273;998.5;0.87
402259.813;94403.273;997.5;1.81
402259.813;94403.273;996.5;1.54
402259.813;94403.273;995.35;0.18
402249.906;94396.211;999.5;0.44
402249.906;94396.211;998.5;1.13
402249.906;94396.211;997.5;1
402238.875;94545.383;997.5;0.18
402238.875;94545.383;996.5;0.27
402238.875;94545.383;995.5;0.56
402238.875;94545.383;994.5;0.42
402238.875;94545.383;993.65;0.28
402288.313;94864.719;999.5;0.31
402288.313;94864.719;998.5;0.5
402288.313;94864.719;997.6;0.4
402282.094;94857.859;999.5;0.28
402282.094;94857.859;998.5;0.4
402282.094;94857.859;997.5;0.49
402282.094;94857.859;996.65;0.6
402274.188;94849.023;998.5;0.24
402274.188;94849.023;997.6;0.25
402241.406;94868.648;998.35;0.2
402240.594;94856.727;998.5;0.11
402240.594;94856.727;997.4;0.46
402313.188;94924.711;999.5;0.83
402313.188;94924.711;998.5;4.8
402313.188;94924.711;997.5;3.02
402306.469;94929.617;999.5;1.4
402306.469;94929.617;998.5;1.27
402306.469;94929.617;997.5;0.75
402282.313;94936.563;999.5;0.16
402282.313;94936.563;998.5;0.29
402282.313;94936.563;997.6;0.68
402275.906;94930.75;999.5;0.28
402275.906;94930.75;998.5;0.28
402275.906;94930.75;997.5;0.4
402164.719;94742.578;999.5;0.17
402172.406;94739.148;997.5;0.18
402020.188;93440.508;998.5;0.25
401979.688;93501.102;998.5;0.25
401979.688;93501.102;997.65;0.45
401951.281;93586.563;998.55;0.25
401965.188;93630.188;997.5;0.4
401980.094;93650.57;999.5;0.2
401980.094;93650.57;998.5;0.24
401980.094;93650.57;997.5;0.29
401980.094;93650.57;996.5;0.37
401980.094;93650.57;995.5;0.28
401980.094;93650.57;994.5;0.41
401985.813;93666.289;998.5;1.18
401985.813;93666.289;997.5;0.28
401985.813;93666.289;996.5;0.31
401985.813;93666.289;995.5;0.38
401985.813;93666.289;994.5;-99
401985.813;93666.289;993.5;-99
401980.875;93682.367;999.5;0.23
401980.875;93682.367;998.5;0.32
401980.875;93682.367;997.5;-99
401982.469;93760.492;999.5;0.74
401982.469;93760.492;998.5;0.75
401982.469;93760.492;997.5;0.93
401982.469;93760.492;996.5;0.43
401982.469;93760.492;995.5;0.49
401982.469;93760.492;994.5;0.29
401986.594;93771.969;999.5;0.56
401986.594;93771.969;998.5;1.07
401986.594;93771.969;997.5;1.07
401986.594;93771.969;996.5;0.45
401986.594;93771.969;995.5;0.39
401986.594;93771.969;994.5;0.3
401986.594;93771.969;993.5;0.37
401986.594;93771.969;992.75;-99
401986.094;93782.117;999.5;0.47
401986.094;93782.117;998.5;0.59
401986.094;93782.117;997.5;0.61
401986.094;93782.117;996.5;0.28
401986.094;93782.117;995.5;0.26
401986.094;93782.117;994.75;0.15
401973.531;93734.672;999.5;0.32
401973.531;93734.672;998.5;0.29
401973.531;93734.672;997.8;0.12
401974.406;93713.281;999.5;0.36
401974.406;93713.281;998.5;0.24
401991.406;93900.031;998.5;0.32
401996.188;93887.477;999.5;0.34
401996.188;93887.477;998.5;0.37
401996.188;93887.477;997.5;0.28
401996.188;93887.477;996.5;0.37
401996.188;93887.477;995.7;0.52
401993.125;93875.672;999.5;0.28
401993.125;93875.672;998.5;0.4
401993.125;93875.672;997.5;0.3
401993.125;93875.672;996.5;0.29
401947.688;93879.75;997.5;0.46
401947.688;93879.75;996.5;0.89
401948.719;93889.703;999.5;0.3
401948.719;93889.703;998.5;0.26
401948.719;93889.703;997.5;0.37
401948.719;93889.703;996.5;0.5
401948.719;93889.703;995.75;0.96
401947.188;93900.852;999.5;0.35
401947.188;93900.852;998.5;1.41
401947.188;93900.852;997.5;0.3
401947.188;93900.852;996.5;0.57
401947.188;93900.852;995.8;1.12
401945.406;93910.961;999.5;0.26
401945.406;93910.961;998.5;0.42
401945.406;93910.961;997.5;0.72
401906.594;93755.203;999.5;0.31
401906.594;93755.203;998.5;0.23
401906.594;93755.203;997.85;0.18
401869.594;93795.688;999.5;0.36
401869.594;93795.688;998.5;0.64
401881.125;93782.102;999.5;0.34
401881.125;93782.102;998.5;0.28
401883.406;93789.289;999.5;0.46
401883.406;93789.289;998.5;0.46
401898.406;93735.109;999.5;0.56
401898.406;93735.109;998.5;0.77
401930.719;93672.422;999.5;0.22
401930.719;93672.422;998.5;0.46
401934.406;93663.43;999.5;0.24
401934.406;93663.43;998.5;0.3
401971.688;93958.852;999.5;0.3
401971.688;93958.852;998.5;0.16
401971.688;93958.852;997.5;0.38
401971.688;93958.852;996.7;0.36
401974.188;93946.93;997.5;0.28
401846.313;93682.867;999.5;0.23
401846.313;93682.867;998.5;0.2
401846.313;93682.867;997.5;0.65
401846.313;93682.867;996.75;0.64
401850.719;93695.43;999.5;0.24
401850.719;93695.43;998.5;0.5
401850.719;93695.43;997.5;0.24
401952.188;93592.648;997.5;0.31
401951.281;93576.352;997.5;0.33
401951.281;93576.352;996.5;0.46
401951.281;93576.352;995.5;0.51
401955.281;93556.281;995.5;0.36
401955.281;93556.281;994.5;0.3
402218.406;94793.313;998.5;0.02
402218.406;94793.313;997.5;0.04
402218.406;94793.313;996.5;0.3
402218.406;94793.313;995.5;0.2
402217.531;94808.68;997.5;0.24
402217.531;94808.68;996.5;0.37
402212.594;94819.047;998.5;0.06
402383.125;96171.773;999.5;0.47
402383.125;96171.773;998.5;0.66
402383.125;96171.773;997.5;0.7
402293.281;96369.469;999.5;0.43
402294.594;96362.227;999.5;1.79
402294.594;96362.227;998.5;1.39
402318.594;96547.469;999.5;0.82
402318.594;96547.469;998.5;0.47
402318.594;96547.469;997.8;2.9
402330.406;96545.75;999.5;0.9
402330.406;96545.75;998.5;1.29
402330.406;96545.75;997.8;3.75
402344;96544.391;999.5;0.39
402344;96544.391;998.5;1.51
402342.594;96132.18;999.5;1.33
402342.594;96132.18;998.5;1.89
402342.594;96132.18;997.5;1.38
402342.594;96132.18;996.5;0.9
402342.594;96132.18;995.8;1.12
402223.594;96068.289;999.5;1.95
402223.594;96068.289;998.5;0.92
402236.406;96074.969;999.5;2.06
402236.406;96074.969;998.5;1.67
402236.406;96074.969;997.5;1.28
402236.406;96074.969;996.5;0.84
402236.406;96074.969;995.5;0.3
402236.406;96074.969;994.5;0.3
402243.406;96090.648;999.5;1.6
402243.406;96090.648;998.5;1.65
402243.406;96090.648;997.5;4.41
402243.406;96090.648;996.5;0.78
402175.125;96019.617;999.5;0.28
402175.125;96019.617;998.5;1.82
402176.094;96027.992;999.5;0.37
402176.094;96027.992;998.5;0.69
402176.094;96027.992;997.75;0.54
402178.313;96034.938;998.5;0.46
402239.688;95955.063;999.5;0.51
402239.688;95955.063;998.5;0.67
402239.688;95955.063;997.5;0.68
402239.688;95955.063;996.6;0.77
402250.188;95951.531;999.5;0.51
402250.188;95951.531;998.5;0.65
402250.188;95951.531;997.5;0.61
402287.813;95945.93;998.5;0.38
402287.813;95945.93;997.75;0.42
402305.281;95946.438;998.5;0.53
402305.281;95946.438;997.5;0.89
402322.719;95947.813;999.5;0.43
402322.719;95947.813;998.5;0.38
402322.719;95947.813;997.5;0.31
402306.469;96015.242;999.5;0.73
402324.719;96079.758;999.5;1.2
402324.719;96079.758;998.5;1.43
402324.719;96079.758;997.5;3.27
402324.719;96079.758;996.8;2.94
402334.188;96063.031;999.5;0.77
402334.188;96063.031;998.65;0.97
402212.094;94871.094;997.85;0.69
402215.281;94861.148;997.5;1.07
402215.281;94861.148;996.5;2.65
402215.281;94861.148;995.7;5.61
402212;94847.32;999.5;0.34
402212;94847.32;998.5;1.99
402212;94847.32;997.5;0.69
402241.594;94874.008;998.5;0.14
402243.125;94862.797;999.5;0.07
402243.125;94862.797;998.5;0.12
402243.125;94862.797;997.5;0.27
402243.125;94862.797;996.75;0.58
402240.313;94852.969;998.5;0.14
402240.313;94852.969;997.65;0.57
402238.875;94832.172;998.5;0.01
402238.875;94832.172;997.5;0.16
402247.125;94813.078;999.5;0.005
402247.125;94813.078;998.5;0.08
402247.125;94813.078;997.5;0.07
402247.125;94813.078;996.5;0.28
402246.594;94798.438;996.5;0.14
402246.594;94798.438;995.75;0.24
402315;94850.156;999.5;0.14
402315;94850.156;998.6;0.26
402308.719;94847.57;998.5;0.32
402297.813;94754.313;998.5;0.13
402302.188;94743.906;998.5;0.21
402302.188;94743.906;997.5;0.43
402302.188;94743.906;996.75;0.31
402300.094;94732.938;999.5;0.13
402300.094;94732.938;998.5;0.29
402300.094;94732.938;997.5;0.34
402250.406;94786.461;997.5;0.34
402257.813;94737.938;999.5;0.09
402257.813;94737.938;998.5;0.52
402257.813;94737.938;997.5;0.61
402257.813;94737.938;996.5;0.13
402256.594;94718.82;999.5;0.51
402256.594;94718.82;998.5;0.33
402260.313;94582.273;996.5;0.18
402254.469;94588.891;998.5;0.31
402254.469;94588.891;997.5;0.55
402254.469;94588.891;996.5;0.35
402254.469;94588.891;995.65;0.26
402238;94461.922;996.75;0.9
402232.813;94454.281;998.5;1.1
402232.813;94454.281;997.5;2.02
402201.125;94768.859;998.5;0.13
402201.125;94768.859;997.5;0.01
402202.406;94761.75;999.5;0.06
402202.406;94761.75;998.5;0.02
402202.406;94761.75;997.5;0.06
402202.406;94761.75;996.55;0.22
402203.531;94755.242;999.5;0.02
402203.531;94755.242;998.5;0.12
402203.531;94755.242;997.5;0.08
402203.531;94755.242;996.5;0.29
402073.688;94107.031;999.5;1.18
402073.688;94107.031;998.5;1.9
402073.688;94107.031;997.8;2.81
402073.813;94113.094;999.5;0.62
402073.813;94113.094;998.75;1.01
401909.531;93889.141;999.5;0.21
401909.531;93889.141;998.5;0.4
401909.531;93889.141;997.5;0.46
401909.594;93897.758;999.5;0.21
401909.594;93897.758;998.5;0.22
401909.594;93897.758;997.5;0.44
401909.594;93897.758;996.5;0.36
401909.594;93897.758;995.7;0.4
401908.188;93907.594;999.5;0.14
401908.188;93907.594;998.5;0.51
401908.188;93907.594;997.5;0.33
401908.188;93907.594;996.5;0.32
401908.188;93907.594;995.5;0.4
401908.188;93907.594;994.9;0.28
401907;93918.172;998.5;0.23
401907;93918.172;997.5;0.43
401907;93918.172;996.6;0.43
402296.875;96400.867;999.5;0.31
402296.875;96400.867;998.5;0.74
402301.594;96401.68;999.5;0.27
402301.594;96401.68;998.75;0.85
402313.594;96400.227;999.5;0.27
402313.594;96400.227;998.85;0.4
402321.188;96396.438;999.5;0.27
402321.188;96396.438;998.75;0.41
402298.469;96477.469;998.9;0.17
402294.813;96483.578;998.55;0.14
402291.125;96487.961;998.5;0.08
402308.094;96487.109;999.5;0.1
402308.094;96487.109;998.75;0.16
402306.188;96475.828;999.5;0.15
402306.188;96475.828;998.9;0.15
402212.813;96921.922;999.5;2.36
402212.813;96921.922;998.8;1.54
402213.813;96927.344;999.5;1.47
402213.813;96927.344;998.5;2.51
402213.688;96934.453;999.5;1.29
402213.688;96934.453;998.5;3.11
402213.688;96934.453;997.9;3.07
402220;96963.922;999.5;0.31
402220;96963.922;998.75;0.52
402225.594;96965.391;998.55;0.32
402219.594;96984.594;999.5;0.22
402219.594;96984.594;998.5;0.4
402196.469;97023.094;999.5;0.25
402196.469;97023.094;998.5;0.29
402199.531;97048.156;999.5;0.17
402199.531;97048.156;998.7;0.21
402192.406;97042.617;999.5;0.14
402192.406;97042.617;998.5;0.29
402186.188;97039.648;999.5;0.21
402253.281;94329.859;996.5;0.54
402253.281;94329.859;995.5;0.66
402253.281;94329.859;994.5;0.5
402253.281;94329.859;993.75;0.37
402255.125;94337.781;996.5;0.52
402163.813;94232.742;996.5;0.61
402168.094;94241.109;996.5;0.37
402168.094;94241.109;995.5;0.69
402169.594;94248.5;997.5;0.26
